DATE,EXCHANGE RATE,WCS,WTI
1/2/2017,95,111.8,108.92
1/3/2017,95,108.42,107.48
1/4/2017,96,110.68,109.33
1/5/2017,97,112.26,110.38
1/6/2017,97,115.21,110.81
1/9/2017,97,111.09,106.64
1/10/2017,97,108.12,104.32
1/11/2017,97,112.04,107.13
1/12/2017,97,114.02,108.82
1/13/2017,97,112.42,107.48
1/16/2017,97,112.57,107.58
1/17/2017,98,113.36,107.67
1/18/2017,97,109.72,104.94
1/19/2017,96,112.68,105.49
1/20/2017,96,114.43,107.42
1/23/2017,96,114.06,108.32
1/24/2017,97,114.26,107.52
1/25/2017,98,112.71,107.03
1/26/2017,98,116.47,109.29
1/27/2017,98,115.05,109.16
1/30/2017,98,113.47,108.04
1/31/2017,98,113.49,108.28
2/1/2017,98,116.34,110.64
2/2/2017,98,115.13,109.92
2/3/2017,98,116.04,110.46
2/6/2017,97,114.49,108.82
2/7/2017,97,111.45,107.13
2/8/2017,97,110.79,107.5
2/9/2017,97,111.86,108.77
2/10/2017,98,112.66,110.52
2/13/2017,98,111.17,108.71
2/14/2017,98,111.95,109.23
2/15/2017,98,111.88,109.02
2/16/2017,98,113.54,109.64
2/17/2017,97,114.74,109.64
2/20/2017,97,114.74,110.26
2/21/2017,97,116.17,110.89
2/22/2017,97,114.57,110.05
2/23/2017,98,116.41,111.83
2/24/2017,98,116.26,110.83
2/27/2017,98,116.78,110.93
2/28/2017,97,117.4,110.85
3/1/2017,96,117.96,110.48
3/2/2017,96,114.19,108.04
3/3/2017,95,115.55,109.47
3/6/2017,95,115.22,109.19
3/7/2017,95,115.37,108.14
3/8/2017,95,107.84,102.29
3/9/2017,95,103.81,100.07
3/10/2017,95,101.02,98.63
3/13/2017,95,100.43,98.43
3/14/2017,95,97.94,96.97
3/15/2017,95,101,99.23
3/16/2017,96,101.21,99.15
3/17/2017,96,106.75,99.23
3/20/2017,96,105.42,98.1
3/21/2017,96,103.07,96.52
3/22/2017,96,104.59,97.07
3/23/2017,96,103.02,96.48
3/24/2017,96,104.37,97.09
3/27/2017,96,104.75,96.52
3/28/2017,96,106.39,99.27
3/29/2017,96,109.64,101.55
3/30/2017,96,113.39,103.25
3/31/2017,96,115.09,103.75
4/3/2017,95,117.15,103.15
4/4/2017,95,120.66,104.67
4/5/2017,95,122.03,104.98
4/6/2017,95,122.77,106.11
4/7/2017,95,126.09,107.26
4/10/2017,96,128.95,108.92
4/11/2017,96,129.85,109.58
4/12/2017,96,129.32,109.04
4/13/2017,96,129.78,109.19
4/14/2017,96,129.78,108.6
4/17/2017,96,128.65,108.02
4/18/2017,96,124.48,107.69
4/19/2017,95,119.24,103.64
4/20/2017,95,118.93,103.17
4/21/2017,95,117.14,101.9
4/22/2017,95,116.23,102.53
4/23/2017,94,118.69,101.46
4/24/2017,94,119.13,100.38
4/25/2017,94,118.63,101.04
4/26/2017,94,120.51,101.04
4/27/2017,94,119.79,100.5
4/28/2017,93,116.54,101.22
5/1/2017,93,116.64,100.24
5/2/2017,93,110.27,97.81
5/3/2017,93,110.86,98.1
5/4/2017,93,110.48,93.5
5/5/2017,93,108.67,94.9
5/8/2017,94,112.38,95.37
5/9/2017,93,114.53,94.1
5/10/2017,93,115.02,97.05
5/11/2017,94,117.42,98.14
5/12/2017,94,116.92,98.18
5/15/2017,94,117.42,100.3
5/16/2017,94,116.92,99.85
5/17/2017,94,116.54,100.67
5/18/2017,94,117.98,101.32
5/19/2017,94,120.26,103.29
5/22/2017,94,120.26,104.3
5/23/2017,95,123.6,104.94
5/24/2017,95,122.51,104.67
5/25/2017,95,115.82,99.7
5/26/2017,95,118.26,101.77
5/29/2017,95,118.59,101.83
5/30/2017,95,118.84,101.88
5/31/2017,95,115.16,99.13
6/1/2017,95,114.19,99.19
6/2/2017,95,111.17,97.87
6/5/2017,95,110.68,97.3
6/6/2017,95,112.11,98.8
6/7/2017,95,105.47,94.02
6/8/2017,95,104.9,93.77
6/9/2017,95,105.2,94.06
6/12/2017,95,105.47,94.63
6/13/2017,97,105.44,95.27
6/14/2017,97,100.49,91.94
6/15/2017,96,100.26,91.29
6/16/2017,97,101.23,91.82
6/19/2017,97,97.94,90.81
6/20/2017,96,94.98,88.97
6/21/2017,96,93.51,87.2
6/22/2017,97,94.93,87.3
6/23/2017,96,95.89,87.98
6/26/2017,97,96.86,88.76
6/27/2017,97,99,90.83
6/28/2017,98,100,91.84
6/29/2017,98,100.51,92.13
6/30/2017,99,103.78,94.47
7/3/2017,99,106.78,93.3
7/4/2017,99,105.46,92.95
7/5/2017,98,103.62,92.6
7/6/2017,99,100.11,93.44
7/7/2017,99,97.98,90.83
7/10/2017,99,98.99,91.14
7/11/2017,99,100.81,92.5
7/12/2017,100,101.73,93.36
7/13/2017,100,103.43,94.55
7/14/2017,101,104.34,95.51
7/17/2017,101,103.05,94.47
7/18/2017,101,101.34,95.25
7/19/2017,102,103.95,96.68
7/20/2017,102,103.17,95.92
7/21/2017,102,99.47,93.97
7/24/2017,102,100.59,94.86
7/25/2017,102,104.43,98.06
7/26/2017,102,106.95,99.72
7/27/2017,102,108.09,100.69
7/28/2017,103,108.83,102.06
7/31/2017,102,110.46,103.07
8/1/2017,102,107.84,100.97
8/2/2017,102,109.64,101.82
8/3/2017,102,108.41,100.65
8/4/2017,101,110.37,101.75
8/7/2017,101,110.37,101.34
8/8/2017,101,109.47,100.73
8/9/2017,101,110.81,101.8
8/10/2017,101,108.18,99.64
8/11/2017,101,108.53,100.19
8/14/2017,101,105.53,97.69
8/15/2017,100,106.08,97.65
8/16/2017,101,103.33,96.07
8/17/2017,101,105.46,96.62
8/18/2017,102,108.6,99.74
8/21/2017,102,103.5,97.28
8/22/2017,102,104.52,97.81
8/23/2017,102,106.39,99.46
8/24/2017,102,104.21,96.97
8/25/2017,102,104.85,97.81
8/28/2017,102,100.24,95.25
8/29/2017,102,98.78,95.37
8/30/2017,101,96.12,94.34
8/31/2017,102,97.7,97.01
9/1/2017,103,93.81,97.14
9/4/2017,103,93.81,98.48
9/5/2017,103,98.81,99.82
9/6/2017,104,101.64,100.85
9/7/2017,105,100.98,100.79
9/8/2017,105,96.6,97.38
9/11/2017,105,97.24,98.65
9/12/2017,105,98.1,98.96
9/13/2017,105,100.06,101.2
9/14/2017,105,101.99,102.35
9/15/2017,105,104.08,102.43
9/18/2017,104,102.37,102.39
9/19/2017,104,101.55,101.69
9/20/2017,104,105.78,103.23
9/21/2017,104,106.09,103.83
9/22/2017,104,106.4,103.31
9/25/2017,104,111.15,106.43
9/26/2017,103,111.07,105.9
9/27/2017,103,112.44,107.03
9/28/2017,103,110.61,105.96
9/29/2017,102,111.64,106.06
10/2/2017,102,108.5,103.85
10/3/2017,102,108.48,103.54
10/4/2017,102,106.75,102.64
10/5/2017,102,109.67,104.26
10/6/2017,102,105.51,101.28
10/9/2017,102,105.51,101.77
10/10/2017,102,109.83,104.55
10/11/2017,102,110.42,105.31
10/12/2017,103,108.57,103.89
10/13/2017,102,110.57,105.57
10/16/2017,102,112.56,106.45
10/17/2017,102,112.59,106.48
10/18/2017,102,110.14,106.84
10/19/2017,102,108.25,105.28
10/20/2017,101,109.8,105.98
10/23/2017,101,110.05,106.56
10/24/2017,101,111.05,107.4
10/25/2017,100,111.54,106.68
10/26/2017,100,113.21,107.58
10/27/2017,99,116.11,110.68
10/30/2017,100,116.41,111.07
10/31/2017,99,117.42,111.59
11/1/2017,99,115.07,111.5
11/2/2017,100,115.1,111.98
11/3/2017,100,117.03,114.19
11/6/2017,100,121.96,117.7
11/7/2017,100,122.81,117.4
11/8/2017,100,120.37,116.64
11/9/2017,101,120.43,117.33
11/10/2017,101,118.97,116.49
11/13/2017,101,120.13,116.53
11/14/2017,100,117.04,114.28
11/15/2017,100,116.16,113.48
11/16/2017,100,115.03,113.19
11/17/2017,100,115.51,115.38
11/20/2017,100,113.69,115.38
11/21/2017,100,113.15,116.68
11/22/2017,100,114.1,118.81
11/23/2017,101,114.49,119.9
11/24/2017,101,116.22,120.99
11/27/2017,100,116.67,119.26
11/28/2017,100,117.07,118.98
11/29/2017,99,114.81,117.52
11/30/2017,99,114.4,117.83
12/1/2017,100,115.36,119.78
12/4/2017,101,112.09,117.99
12/5/2017,101,112.35,118.36
12/6/2017,100,106.47,114.52
12/7/2017,100,106.9,115.98
12/8/2017,99,105.66,117.31
12/11/2017,99,103.86,118.73
12/12/2017,99,93.13,117.25
12/13/2017,99,89.12,116.16
12/14/2017,100,93.24,117.01
12/15/2017,100,92.74,117.6
12/18/2017,99,91.37,117.35
12/19/2017,99,88.2,118.01
12/20/2017,100,88.69,119.24
12/21/2017,100,88.87,119.76
12/22/2017,100,89.37,119.57
12/25/2017,100,89.37,119.57
12/26/2017,100,92.04,122.24
12/27/2017,101,91.41,122.49
12/28/2017,102,94.85,122.84
12/29/2017,102,96.9,124.11
1/1/2018,102,96.9,124.11
1/2/2018,102,100.39,123.92
1/3/2018,102,103.77,126.47
1/4/2018,102,102.73,127.23
1/5/2018,103,100.29,126.22
1/8/2018,103,100.39,126.72
1/9/2018,103,103.83,129.16
1/10/2018,102,106.48,130.55
1/11/2018,102,106.9,130.99
1/12/2018,102,109.28,131.83
1/15/2018,103,112,131.42
1/16/2018,103,113.08,131.01
1/17/2018,103,109.46,131.21
1/18/2018,103,108.19,131.29
1/19/2018,103,100.83,130.1
1/22/2018,103,100.82,130.68
1/23/2018,103,101.3,132.3
1/24/2018,104,101.97,134.84
1/25/2018,104,101.92,134.7
1/26/2018,104,104.56,136.03
1/29/2018,104,101.81,134.89
1/30/2018,104,97.64,132.69
1/31/2018,104,94.86,133.06
2/1/2018,104,95.68,135.32
2/2/2018,103,95.51,134.45
2/5/2018,102,93.02,131.74
2/6/2018,102,92.04,130.31
2/7/2018,102,90.56,127.08
2/8/2018,102,94.73,125.83
2/9/2018,101,95.46,121.52
2/12/2018,101,99.41,121.95
2/13/2018,101,99.96,121.79
2/14/2018,102,95.03,124.6
2/15/2018,102,95.43,126.2
2/16/2018,102,94.58,127.04
2/19/2018,101,94.58,127.06
2/20/2018,101,93.72,127.08
2/21/2018,101,93.16,126.72
2/22/2018,101,96.81,128.75
2/23/2018,101,99.68,130.39
2/26/2018,100,104.16,130.99
2/27/2018,100,106.21,129.2
2/28/2018,99,103.49,126.1
3/1/2018,99,102.56,125.18
3/2/2018,99,104.94,125.61
3/5/2018,99,106.75,128.28
3/6/2018,99,104.74,128.38
3/7/2018,99,98.64,125.4
3/8/2018,100,96.9,123.43
